Id,KOValue,ENValue,TWValue,THValue
1929,개애걸래,,,จู๋เท่า
1930,개에가튼,,,จู๋เบา
1931,개에걸래,,,จู๋เปียก
1932,개염창,,,จู๋เล็ก
1933,개작두넘,,,จู๋เล้ก
1934,개작두년,,,จู๋เหี้ย
1935,개잡뇬,,,จู๋เหี่ยว
1936,개저가튼,,,จู๋เอี้ย
1937,개저엇,,,จู๋แดก
1938,개젓,,,จู๋แม่
1939,개젖,,,จู๋แม่ง
1940,개좆같은,,,จู๋แม่ม
1941,개좆같은넘,,,จู๋แมร่ง
1942,개지랄넘,,,จู๋แสรด
1943,개지랄놈,,,จู๋แหก
1944,개차반,,,จู๋ใหญ่
1945,개팔,,,จู๋กรุ
1946,개호로년,,,จู๋กรู
1947,개호로새끼,,,จู๋กะเทย
1948,개후라,,,จู๋กาก
1949,개후랄,,,จู๋กุ
1950,개후레,,,จู๋กู
1951,개후장,,,จู๋ครวย
1952,갸슴,,,จู๋ควย
1953,걔잡넘,,,จู๋ควาย
1954,걔잡뇬,,,จู๋คุวย
1955,거래,,,จู๋จ่อหี
1956,거시기,,,จู๋จังไร
1957,걸레같은년,,,จู๋จัญไร
1958,걸레보지,,,จู๋จันไร
1959,걸래넘,,,จู๋จิ๋ว
1960,걸래놈,,,จู๋ช้าง
1961,걸레,,,จู๋ตั้ง
1962,걸레가튼넘,,,จู๋ตุ๊ด
1963,걸레가튼뇸,,,จู๋น้ำแตก
1964,걸레같은놈,,,จูบแคม
1965,걸레년,,,จูบแตด
1966,걸레핀년,,,จูบครวย
1967,겁탈,,,จูบจิ๋ม
1968,게너마,,,จูบจู๋
1969,게노마,,,จูบตีน
1970,게놈,,,จูบตูด
1971,게뇨나,,,จูบปลายตีน
1972,게뇸,,,จูบฝ่าตีน
1973,게느마,,,จู๋บวม
1974,게띠발넘,,,จูบหมอย
1975,게부랄,,,จูบหัวตีน
1976,게부알,,,จูบหี
1977,게새,,,จู๋ป้อเมิง
1978,게새리,,,จู๋ป้อมึง
1979,게새이,,,จู๋ป๊ะ
1980,게색기,,,จู๋พ่อ
1981,게색끼,,,จู๋พอง
1982,게세꺄,,,จู๋พ่อง
1983,게세끼,,,จู๋พัง
1984,게쉑아,,,จู๋ฟราย
1985,게쉑캬,,,จู๋ฟาย
1986,게쉑키,,,จู๋มด
1987,게스끼,,,จู๋ยั่ย
1988,게스래기,,,จู๋ระยำ
1989,게스키,,,จู๋ล่อ
1990,게시퀴,,,จู๋สรัด
1991,게쌔,,,จู๋สัด
1992,게쌔기,,,จู๋สัต
1993,게쌕,,,จู๋สัส
1994,게쌕끼,,,จู๋สาด
1995,게쎄,,,จู๋หด
1996,게쎅,,,จู๋หนัก
1997,게쒝,,,จู๋หมา
1998,게쓰래기,,,จู๋หย่าย
1999,게쓰레기,,,จู๋ห่า
2000,게씨발넘,,,จู๋หี
2001,게에가튼,,,ชักว่าว
2002,게잡넘,,,ชั่วช้า
2003,게잡년,,,ชาติชั่ว
2004,게잡뇬,,,ชาติหมา
2005,게저엇,,,ชิงหมาเกิด
2006,게젓가튼넘,,,ชิบหาย
2007,게지랄,,,ชิหาย
2008,게지랄놈,,,ด อ
2009,게호로년,,,ดอกเชรี้ย
2010,게호로놈,,,ดอกเชี่ย
2011,게호로새끼,,,ดอกเชี้ย
2012,경상디언,,,ดอกเหี้ย
2013,고환,,,ดอกเอี้ย
2014,고공섹스,,,ดอกแม่ง
2015,고담,,,ดอกแม่ม
2016,고무통,,,ดอกครวย
2017,고우섹스,,,ดอกควย
2018,고자,,,ดอกคุวย
2019,고추,,,ดอกชิบหาย
2020,고투에로,,,ดอกชิหาย
2021,고패티쉬,,,ดอกทอง
2022,고픈녀,,,ดอกป้อเมิง
2023,고픈여,,,ดอกป้อมึง
2024,공짜캐시,,,ดอกป๊ะ
2025,공짜버그,,,ดอกพ่อ
2026,공짜충전,,,ดอกพ่อง
2027,공짜캐쉬,,,ดอกร่าน
2028,과메기,,,ดอกสรัด
2029,과부촌,,,ดอกสัด
2030,광년,,,ดอกสัต
2031,광뇨니,,,ดอกสาด
2032,광뇬,,,ดอกห่า
2033,괴가튼,,,ดองทอง
2034,교성,,,ดูดแคม
2035,구멍에쑤실까,,,ดูดแตด
2036,굴래머,,,ดูดครวย
2037,굴레머,,,ดูดจิ๋ม
2038,굿섹스클럽,,,ดูดจู๋
2039,궁뎅이,,,ดูดตีน
2040,궁둥이,,,ดูดตูด
2041,귀두,,,ดูดปลายตีน
2042,그네,,,ดูดปาก
2043,그룹섹,,,ดูดฝ่าตีน
2044,그룹섹스,,,ดูดลิ้น
2045,근친,,,ดูดหมอย
2046,근친충,,,ดูดหัวตีน
2047,기분좋다,,,ดูดหัวนม
2048,김대중,,,ดูดหี
2049,김치녀,,,ดูหัวนม
2050,까보전,,,ต ูด
2051,깨쌔꺄,,,ตรีน
2052,깨썌꺄,,,ตอแหล
2053,꺠썌끼,,,ตี น
2054,꺼추,,,ตีฉิ่ง
2055,꼬추,,,ตีน
2056,꼬츄,,,ตุ๋ย
2057,꼴려,,,ตุ๋ยเกย์
2058,꽁까,,,ตุ๋ยเคย
2059,끈팬티,,,ตุ๋ยเชี่ย
2060,ㄴㅣㄱㅣㅁㅣ,,,ตุ๋ยเมิง
2061,나를싸게,,,ตุ๋ยแตด
2062,나체,,,ตุ๋ยแม่
2063,낙태아,,,ตุ๋ยแม่ง
2064,난교,,,ตุ๋ยแม่ม
2065,난자마셔,,,ตุ๋ยครวย
2066,난자먹어,,,ตุ๋ยจิ๋ม
2067,난자핧아,,,ตุ๋ยจู๋
2068,남근,,,ตุ๋ยชะนี
2069,남녀섹시속옷,,,ตุ๋ยดอ
2070,남녀자위기구,,,ตุ๋ยตีน
2071,남성단련용품,,,ตุ๋ยตุ๊ด
2072,남성자위기구,,,ตุ๋ยตูด
2073,넌좃밥,,,ตุ๋ยนม
2074,넣게벌려,,,ตุ๋ยพ่อ
2075,넣고싶어,,,ตุ๋ยพ่อง
2076,넣고싸고,,,ตุ๋ยส้นตีน
2077,네다통,,,ตุ๋ยสัด
2078,네다홍,,,ตุ๋ยสัต
2079,네버섹스,,,ตุ๋ยสาด
2080,년,,,ตุ๋ยหน้า
2081,노팬티,,,ตุ๋ยหมอย
2082,노고무,,,ตุ๋ยหี
2083,노모,,,ตู ด
2084,노무현,,,ตูด
2085,노브라,,,ตูดเกย์
2086,노콘,,,ตูดเชี่ย
2087,노팬,,,ตูดเปรด
2088,노팬츠,,,ตูดเปรต
2089,뇬,,,ตูดเมิง
2090,누드,,,ตูดเย็ด
2091,누나강간,,,ตูดแดก
2092,누나몸,,,ตูดแม่
2093,누두,,,ตูดแม่ง
2094,누드몰카,,,ตูดแม่ม
2095,누드뮤직,,,ตูดแหก
2096,누드사진,,,ตูดแหวก
2097,누드섹스,,,ตูดกรุ
2098,누드쇼,,,ตูดกรู
2099,누드스케치,,,ตูดกะเทย
2100,누드집,,,ตูดกะหรี่
2101,누드천사,,,ตูดกุ
2102,누드커플,,,ตูดขี้
2103,누드클럽,,,ตูดครวย
2104,누드필름,,,ตูดจิ๋ม
2105,누드화보,,,ตูดชะนี
2106,뉭기랄,,,ตูดตุ๊ด
2107,뉭기럴,,,ตูดบวม
2108,니미랄,,,ตูดบาง
2109,니미럴,,,ตูดบาน
2110,니미롤,,,ตูดป้อ
2111,니씨브랄,,,ตูดป๊ะ
2112,니아비,,,ตูดพ่อ
2113,니좆,,,ตูดพ่อง
2114,닝기럴,,,ตูดพัง
2115,다구리,,,ตูดล่อ
2116,다리벌려,,,ตูดสัด
2117,다리벌리,,,ตูดสัต
2118,다보자성인영화관,,,ตูดสั่น
2119,다음섹스,,,ตูดสาด
2120,다이섹스,,,ตูดหนา
2121,다이쥬,,,ตูดหมอย
2122,다카기,,,ตูดห่า
2123,닭그네,,,ตูดหี
2124,닭근혜,,,ถอก
2125,대박성인토탈몰,,,ถ่อย
2126,더어엉신,,,ถุย
2127,더티섹스,,,ทุเรศ
2128,덥치기,,,นเรศวร
2129,덥침,,,นมใหญ่จัง
2130,도요타,,,นมทะลัก
2131,도촬,,,น่าม่อ
2132,도쿄섹스,,,นายเด็กเวร
2133,도쿄섹스NIPON,,,นายเปรต
2134,돈복사,,,นายเป-รต
2135,돌은놈,,,นายเลว
2136,동생강간,,,นายเวร
2137,두두섹스,,,นายเสี่ยว
2138,두부외상,,,นายโง่
2139,드으응신,,,นายชาติชั่ว
2140,디지털섹스조선,,,นายชาติหมา
2141,딜도,,,นายชิงหมาเกิด
2142,따먹은년,,,นายชิบหาย
2143,따먹자,,,นายดอแหลน
2144,따아알따리,,,นายดอก
2145,따아알따아리,,,นายทุเรศ
2146,따알따리,,,นายนรก
2147,딸달이,,,นายบัดซบ
2148,딸딸이,,,นายปากหมา
2149,딸치,,,นายลูกกระหรี่
2150,땅크,,,นายลูกหมา
2151,떠어라아이,,,นายสราด
2152,떠어라이,,,นายสราดดดดดด
2153,떡쳐라,,,นายสักหมา
2154,떡칠녀,,,นายสัด
2155,또라이,,,นายสัดกะหมา
2156,또오라아이,,,นายสัดหมา
2157,또오라이,,,นายสัต
2158,똥구멍,,,นายสัตย์
2159,똥꾸녕,,,นายสัตร์
2160,띠발,,,นายสัตว
2161,띠발뇬,,,นายสันดาน
2162,띠블넘,,,นายสาด
2163,띠부우울,,,นายสารเลว
2164,띠부울,,,นายหน้าโง่
2165,띠브울,,,นายหน้าดอ
2166,띠이바알,,,นายหน้าด้าน
2167,띠이발,,,นายหน้าตัวเมีย
2168,띠이버얼,,,นายหน้าปิ๊
2169,띠이벌,,,นายหน้ามึน
2170,띠이이발,,,นายหน้าหมา
2171,띠이이벌,,,นายหอก
2172,라노비아섹스샵,,,นายหอยย่น
2173,라이브스트립,,,นายหัวถอก
2174,라이브섹스,,,นายห่า
2175,래즈,,,นายอ่อน
2176,래즈비언,,,น่าหม้อ
2177,러브박사성인용품,,,น้ำแตก
2178,러브베드,,,น้ำกาม
2179,러브섹시클럽,,,น้ำว่าว
2180,러브하자성인용품,,,บริการทางเพศ
2181,러브호텔,,,บ๊วบ
2182,러시아걸,,,บัก!
2183,레드섹스TV,,,บัดซบ
2184,레이디가카,,,บีบหัวนม
2185,레이디각하,,,ปลายตรีน
2186,레즈,,,ปลายตีน
2187,로린이,,,ปิ๊
2188,리얼섹,,,ปี้
2189,리얼섹스플레이,,,ฝ่าตรีน
2190,리얼에로,,,ฝ่าตรีนเชี่ย
2191,ㅁㅣㅊㅣㄴ,,,ฝ่าตรีนเมิง
2192,마니아섹스,,,ฝ่าตรีนแม่
2193,마더뻑,,,ฝ่าตรีนแม่ง
2194,마더퍽,,,ฝ่าตรีนแม่ม
2195,마사오,,,ฝ่าตรีนกรุ
2196,마스터베이션,,,ฝ่าตรีนกรู
2197,막간놈,,,ฝ่าตรีนกุ
2198,막간뇬,,,ฝ่าตรีนครวย
2199,막간뇸,,,ฝ่าตรีนชิบ
2200,막대줘?,,,ฝ่าตรีนป้อ
2201,만져볼래,,,ฝ่าตรีนพ่อ
2202,만져주께,,,ฝ่าตรีนพ่อง
2203,만져줄년,,,ฝ่าตรีนสัด
2204,만지는중,,,ฝ่าตรีนสัต
2205,맛간놈,,,ฝ่าตรีนสาด
2206,맛간뇬,,,ฝ่าตรีนห่า
2207,맛간늠,,,ฝ่าตีน
2208,맛간쉑,,,ฝ่าตีนเชี่ย
2209,맛간쉨,,,ฝ่าตีนเมิง
2210,망나니,,,ฝ่าตีนแม่
2211,망가,,,ฝ่าตีนแม่ง
2212,맞간년,,,ฝ่าตีนแม่ม
2213,명박,,,ฝ่าตีนกรุ
2214,모노섹스,,,ฝ่าตีนกรู
2215,모링이,,,ฝ่าตีนกุ
2216,모텔,,,ฝ่าตีนครวย
2217,목따,,,ฝ่าตีนชิบ
2218,몰카,,,ฝ่าตีนป้อ
2219,몸뚱이줄께,,,ฝ่าตีนพ่อ
2220,몸안에사정,,,ฝ่าตีนพ่อง
2221,몸좀,,,ฝ่าตีนสัด
2222,몸캠,,,ฝ่าตีนสัต
2223,몸켐,,,ฝ่าตีนสาด
2224,무료망가,,,ฝ่าตีนห่า
2225,무료몰카,,,พ่ อ มึ ง ตา ย
2226,무료성인,,,พระเจ้า
2227,무료성인동영상,,,พระเจ้าแผ่นดิน
2228,무료성인만화,,,พระเจ้าตาก
2229,무료성인방송,,,พระเจ้าอยู่หัว
2230,무료성인싸이트,,,พระเทพ
2231,무료성인엽기,,,พระเยซู
2232,무료성인영화,,,พระจอมเกล้า
2233,무료성인정보,,,พระนเรศวร
2234,무료섹스,,,พระนั่งเกล้า
2235,무료섹스동영상,,,พระบรม
2236,무료섹스사이트,,,พระบรมโกศ
2237,무료야설,,,พระพุทธเจ้า
2238,무료포르노,,,พระราชา
2239,무료포르노동영상,,,พระราชินี
2240,무삭제원판,,,พระองค์
2241,무전망가,,,พระอัลเลาะห์
2242,무한계정,,,พ่อ die
2243,무현,,,พ่อเมิง
2244,문제인,,,พ่อเมิงตาย
2245,문죄인,,,พ่อแม่ไม่ได้สั่งสอน
2246,미친넘,,,พ่อแม่ไม่สั่งสอน
2247,미친눔,,,พ่อแย่จังตาย
2248,미친새끼,,,พ่อไม่สั่งสอน
2249,미틴것,,,พ่อคิงแม่คิง
2250,미국포르노,,,พ่อคิงหยั่ง
2251,미소녀섹스가이드,,,พ่อคุณเหรอ
2252,미스누드,,,พ่อง
2253,미스터콘돔,,,พ่อตาย
2254,미췬년,,,พ่อมรึงตาย
2255,미췬놈,,,พ่อมรึงสิ
2256,미치인,,,พ่อมึงตาย
2257,미친,,,พ่อสิ้น
2258,미친구녕,,,พ่อหลวง
2259,미친구멍,,,พุทธยอดฟ้า
2260,미친뇸,,,ฟัก ยู
2261,미친뇽,,,ฟักยู
2262,미친늠,,,ฟ้าชาย
2263,미친쉐이,,,ภูมิพล
2264,미친쉑,,,มงกุฎเกล้า
2265,미친쉨,,,มรึง
2266,미친씨부랄,,,มึ ง
2267,미틴년,,,มึง
2268,미틴놈,,,มึ-ง
2269,미틴뇬,,,ยอดแตด
2270,미틴뇸,,,ยอดครวย
2271,미틴눔,,,ยอดจิ๋ม
2272,밑구녕빨기,,,ยอดจู๋
2273,밑창,,,ยอดตรีน
2274,ㅂㅓ즤,,,ยอดตีน
2275,ㅂㅣㅇㅅㅣㄴ,,,ยอดตูด
2276,ㅂㅂㅏ구ㄹㅣ,,,ยอดฝ่าตรีน
2277,ㅂㅂㅏ구리,,,ยอดฝ่าตีน
2278,바보새끼,,,ยอดหมอย
2279,바주카자지,,,ยอดห่า
2280,박고빼고,,,ยอดหี
2281,박고싶,,,ยักสุเน็ต
2282,박근혜,,,ยัดแม่
2283,박을께,,,ร่วมเพศ
2284,박을년,,,ระยำ
2285,박정희,,,รัชกาล
2286,밖에다쌀께,,,ราชวงศ์
2287,발기,,,ร่าน
2288,발정,,,รุมโทรม
2289,밟아버,,,รูเชี่ย
2290,밤일,,,รูแตด
2291,배갈라,,,รูแม่
2292,배위에싸,,,รูแม่ง
2293,배위에싸죠,,,รูแม่ม
2294,백보디,,,รูแหก
2295,버따리자지,,,รูครวย
2296,버어어지,,,รูจิ๋ม
2297,버어어지이,,,รูจู๋
2298,버어지,,,รูตีน
2299,버어지이,,,รูตุ๋ย
2300,버지구녕,,,รูฝ่าตีน
2301,버지구멍,,,รูพ่อ
2302,버지냄새,,,รูพ่อง
2303,버지뚫어,,,รูวาน
2304,버지벌려,,,รูวาร
2305,버지쑤셔,,,รูส้นตีน
2306,버지따먹기,,,รูหมอย
2307,벌려,,,รูหี
2308,벌릴,,,ลงแขก
2309,벌릴여자,,,ล้มเจ้า
2310,벗겨보니,,,ล่อเชี่ย
2311,벗고,,,ล่อแตด
2312,변땅크,,,ล่อแม่
2313,볍진,,,ล่อครวย
2314,병슨,,,ล่อจิ๋ม
2315,병싄,,,ล่อจู๋
2316,병신,,,ล่อตรีน
2317,병신육갑,,,ล่อตีน
2318,보지,,,ล่อตูด
2319,"보,지",,,ล่อส้นตรีน
2320,보.지,,,ล่อส้นตีน
2321,보밍,,,ล่อสัดๆ
2322,보빨러,,,ล่อหมอย
2323,보슬보슬,,,ล่อห่า
2324,보지물,,,ล่อหี
2325,보지걸,,,ลาวสัด
2326,보지구멍,,,ลูกอีกะหรี่
2327,보지나라,,,ลูกอีดอกทอง
2328,보지녀,,,ลูกอีสาด
2329,보지년,,,ศรีรัตน์
2330,보지털,,,สถุน
2331,보혐,,,สถุล
2332,부들부들,,,ส้นตรีน
2333,부랄,,,ส้นตรีนเชี่ย
2334,부릉부릉,,,ส้นตรีนเมิง
2335,부부섹스,,,ส้นตรีนแม่
2336,브라,,,ส้นตรีนแม่ง
2337,브래지어,,,ส้นตรีนแม่ม
2338,빙시,,,ส้นตรีนโคด
2339,빠가,,,ส้นตรีนโคตร
2340,빠굴이,,,ส้นตรีนกรุ
2341,빠큐,,,ส้นตรีนกรู
2342,빡유,,,ส้นตรีนกุ
2343,빡큐,,,ส้นตรีนครวย
2344,빨게해,,,ส้นตรีนชิบ
2345,빨어핥어박어,,,ส้นตรีนป้อ
2346,빨통,,,ส้นตรีนพ่อ
2347,빽큐,,,ส้นตรีนพ่อง
2348,뻑구,,,ส้นตรีนสัด
2349,뽁유,,,ส้นตรีนสัต
2350,뾰큐,,,ส้นตรีนสาด
2351,ㅄ,,,ส้นตรีนห่า
2352,ㅅㅅㅣㅍㅏㄹ,,,ส้นตีน
2353,사이버섹스,,,ส้นตีนเชี่ย
2354,사정,,,ส้นตีนเมิง
2355,사타구니,,,ส้นตีนแม่
2356,삼일한,,,ส้นตีนแม่ง
2357,상타취,,,ส้นตีนแม่ม
2358,색골,,,ส้นตีนโคด
2359,색광,,,ส้นตีนโคตร
2360,색스코리아,,,ส้นตีนกรุ
2361,색파트너,,,ส้นตีนกรู
2362,생퀴,,,ส้นตีนกุ
2363,서양뽀르노,,,ส้นตีนครวย
2364,설라디언,,,ส้นตีนชิบ
2365,성경험,,,ส้นตีนป้อ
2366,성관계,,,ส้นตีนพ่อ
2367,성폭행,,,ส้นตีนพ่อง
2368,성감대,,,ส้นตีนสัด
2369,성과섹스,,,ส้นตีนสัต
2370,성교,,,ส้นตีนสาด
2371,성교제,,,ส้นตีนห่า
2372,성기구,,,สรัด
2373,성매매,,,สราด
2374,성보조기구,,,สวรรคต
2375,성인그리고섹스,,,สวะ
2376,성인누드,,,สะถุล
2377,성인체위,,,สัด
2378,성체위,,,สัดเงี่ยน
2379,성체험,,,สัดเช้ด
2380,성추행,,,สัดเชร้ด
2381,성충동,,,สัดเชรี้ย
2382,세븐누드닷컴,,,สัดเชี่ย
2383,섹,,,สัดเชี้ย
2384,섹스,,,สัดเปรด
2385,"섹,스",,,สัดเปรต
2386,섹.스,,,สัดเย็ด
2387,섹s,,,สัดเย้ด
2388,섹무비,,,สัดเหี้ย
2389,섹하고,,,สัดเหี้ยเหี้ย
2390,섹할래,,,สัดเอี้ย
2391,속궁합,,,สัดแดก
2392,쇅수,,,สัดแม่
2393,쇅스,,,สัดแม่ง
2394,쇅쑤,,,สัดแม่ม
2395,쇅쓰,,,สัดแมร่ง
2396,쇼걸,,,สัดกาก
2397,수음,,,สัดครวย
2398,숙모보지,,,สัดควย
2399,쉑수,,,สัดดอก
2400,쉑쑤,,,สัดดออ
2401,쉑쓰,,,สัดตีน
2402,쉡세,,,สัดตุ๊ด
2403,쉬부럴,,,สัดป้อเมิง
2404,쉬불얼,,,สัดป้อมึง
2405,쉰김치,,,สัดป๊ะ
2406,쉽알년,,,สัดปี้
2407,쉽알놈,,,สัดพ่อ
2408,쉽알늠,,,สัดพ่อง
2409,슈발,,,สัดสถุน
2410,스바새키,,,สัดสถุล
2411,스바쉐리,,,สัดส้นตรีน
2412,스바쉑캬,,,สัดส้นตีน
2413,스시녀,,,สัดหมา
2414,스와핑,,,สัดห่า
2415,스트립,,,สัดหี
2416,스트립쇼,,,สัตเงี่ยน
2417,스팽,,,สัตเช้ด
2418,슨상님,,,สัตเชร้ด
2419,슨탄절,,,สัตเชรี้ย
2420,슴가,,,สัตเชี่ย
2421,싀바,,,สัตเปรด
2422,시밤바,,,สัตเปรต
2423,시바,,,สัตเย็ด
2424,시발년,,,สัตเย้ด
2425,시발놈,,,สัตเหี้ย
2426,시발롬,,,สัตเหี้ยเหี้ย
2427,시발새끼,,,สัตเอี้ย
2428,시발새캬,,,สัตแดก
2429,시발세끼,,,สัตแม่
2430,시발쉐리,,,สัตแม่ง
2431,시발쉐이,,,สัตแม่ม
2432,시밤,,,สัตแมร่ง
2433,시방새,,,สัตกาก
2434,시방새리,,,สัตครวย
2435,시불,,,สัตควย
2436,시빨년,,,สัตดอก
2437,시파,,,สัตดออ
2438,시팍,,,สัตตีน
2439,시팍새꺄,,,สัตตุ๊ด
2440,시팍새끼,,,สัตป้อเมิง
2441,시팍새캬,,,สัตป้อมึง
2442,시팍쉐리,,,สัตป๊ะ
2443,시팍쉐이,,,สัตปี้
2444,시팔넘,,,สัตพ่อ
2445,시팔년,,,สัตพ่อง
2446,시팔놈,,,สัตสถุน
2447,시팔새꺄,,,สัตสถุล
2448,시팔새리,,,สัตส้นตรีน
2449,시팔쉐리,,,สัตส้นตีน
2450,시팔쉐이,,,สัตหมา
2451,신음,,,สัตห่า
2452,십녀,,,สัตหี
2453,십발새끼,,,สันดานไพร่
2454,십발쌔꺄,,,สันดานหมา
2455,십새,,,สัส
2456,십새꺄,,,สา-ด
2457,십새끼,,,สาดเอ้ย
2458,십새키,,,สาดเอ๊ย
2459,십색꺄,,,สาดด
2460,십색끼,,,สาดหมา
2461,십색히,,,สารเลว
2462,십세,,,สิทธิทัตถะ
2463,십세끼,,,สิริกิต
2464,십세리,,,สิริกิตติ
2465,십세이,,,สิริกิตติ์
2466,십쉐리,,,หงี่
2467,십쉐이,,,หน้าเชรี่ย
2468,십쉑히,,,หน้าเชี่ย
2469,십시끼,,,หน้าเม็ด!
2470,십쌔꺄,,,หน้าเหรี้ย
2471,십쌔키,,,หน้าเหี้ย
2472,십쎄끼,,,หน้าแตด
2473,십씨키,,,หน้าครวย
2474,십알넘,,,หน้าควายตัวเมีย
2475,십알년,,,หน้าจู๋
2476,십알놈,,,หน้าตัวเมีย
2477,십알뇬,,,หน้าปิ
2478,십알늠,,,หน้าม่อ
2479,십지럴,,,หน้าส้นตรีน
2480,십탱구리,,,หน้าส้นตีน
2481,십탱굴이,,,หน้าสัด
2482,십탱꾸리,,,หน้าสัต
2483,십탱이,,,หน้าสาด
2484,십텡구리,,,หน้าหนัง!
2485,십텡굴이,,,หน้าหม้อ
2486,십텡꾸리,,,หน้าหมอย
2487,십팔새끼,,,หน้าหมา
2488,십팔세끼,,,หน้าหรี
2489,ㅆ1발,,,หน้าห่า
2490,ㅆ1팔,,,หน้าหี
2491,ㅆI발,,,หมอย
2492,ㅆl발,,,หมอยเกย์
2493,ㅆl팔,,,หมอยเช้ด
2494,싸가리,,,หมอยเชร้ด
2495,싸게해줄,,,หมอยเชรี่ย
2496,싸고시포,,,หมอยเชี่ย
2497,싸기,,,หมอยเชี้ย
2498,싸라,,,หมอยเมิง
2499,싸이코,,,หมอยเย็ด
2500,싼다,,,หมอยเย้ด
2501,쌍너엄,,,หมอยเห็ดสด
2502,쌍녀언,,,หมอยเหี้ย
2503,쌍노무,,,หมอยแดก
2504,쌍놈,,,หมอยแตด
2505,쌍뇬,,,หมอยแม่
2506,쌍뇸,,,หมอยแม่ง
2507,쌔까,,,หมอยแม่ม
2508,쌔낑,,,หมอยแมร่ง
2509,쌔캬,,,หมอยแสรด
2510,쌕끼,,,หมอยกรุ
2511,쌩까냐,,,หมอยกรู
2512,쌩까네,,,หมอยกะเทย
2513,쌩까지마,,,หมอยกะหรี่
2514,쌩보지쑈,,,หมอยกุ
2515,쌩포르노,,,หมอยกู
2516,쌰발,,,หมอยครวย
2517,썅넘,,,หมอยควย
2518,썅놈,,,หมอยคุวย
2519,썅뇬,,,หมอยจิ๋ม
2520,썅뇸,,,หมอยจู๋
2521,썅늠,,,หมอยชะนี
2522,써버럴,,,หมอยดก
2523,쎅,,,หมอยดำ
2524,쎅쑤,,,หมอยตุ๊ด
2525,쎅쓰,,,หมอยบาง
2526,쐑수,,,หมอยบ้าน
2527,쐑스,,,หมอยป้อ
2528,쐑쑤,,,หมอยพ่อ
2529,쐑쓰,,,หมอยพ่อง
2530,쑤셔,,,หมอยมรึง
2531,쒝수,,,หมอยมึง
2532,쒝쑤,,,หมอยรก
2533,쒝쓰,,,หมอยล่อ
2534,쒸부뎅,,,หมอยสรัด
2535,쒸브뎅,,,หมอยสัด
2536,쒸파,,,หมอยสัต
2537,쓰바,,,หมอยสาด
2538,쓰바색캬,,,หมอยหนา
2539,쓰바색키,,,หมอยห่า
2540,쓰바세꺄,,,หมอยหี
2541,쓰바세끼,,,หมาไม่แดก
2542,쓰바쉐리,,,หมาคาบไปแดก
2543,쓰바쉑캬,,,หยาบช้า
2544,쓰바쌔끼,,,หยีเหม็น 
2545,쓰발,,,หลั่งใน
2546,쓰발새꺄,,,หลั่งนอก
2547,쓰발새끼,,,ห้วดอ
2548,쓰발세꺄,,,หอกหัก
2549,쓰발세끼,,,หอย
2550,쓰발쌔꺄,,,หอยหลอด
2551,쓰발알,,,หัวเชรี้ย
2552,쓰벌얼,,,หัวเชี่ย
2553,쓰부럴,,,หัวเชี้ย
2554,쓰비럴,,,หัวเหี้ย
2555,쓰빌얼,,,หัวแตด
2556,쓰팍,,,หัวแม่เมิง
2557,씝년,,,หัวแม่ง
2558,씨뎅이,,,หัวแม่ม
2559,씨떙이,,,หัวครวย
2560,씨받이,,,หัวจิ๋ม
2561,씨발넘,,,หัวดอ
2562,씨발년,,,หัวตีน
2563,씨발놈,,,หัวนม
2564,씨발뇬,,,หัวพ่อเมิง
2565,씨발뇸,,,หัวพ่อง
2566,씨발뇽,,,หัวส้นตีน
2567,씨발늠,,,หัวหน่าว
2568,씨발롬,,,หัวหมอย
2569,씨발새끼,,,หัวห่า
2570,씨발쉐리,,,หัวหี
2571,씨방새,,,ห่า
2572,씨밸넘,,,ห่าเกรียน
2573,씨밸년,,,ห่าเงี่ยน
2574,씨벌넘,,,ห่าเชรี้ย
2575,씨벌년,,,ห่าเชี่ย
2576,씨벌놈,,,ห่าเชี้ย
2577,씨벌뇬,,,ห่าเปรด
2578,씨부랄탱,,,ห่าเปรต
2579,씨불년,,,ห่าเหว
2580,씨뻘,,,ห่าเหี้ย
2581,씨알머리,,,ห่าเอ้ย
2582,씨양년,,,ห่าเอี้ย
2583,씨양놈,,,ห่าแม่
2584,씨입년,,,ห่าแม่ง
2585,씨입뇬,,,ห่าแม่ม
2586,씨팍,,,ห่าแมร่ง
2587,씨팍새꺄,,,ห่าแรด
2588,씨팍새끼,,,ห่าแสรด
2589,씨팔넘,,,ห่าครวย
2590,씨팔년,,,ห่าควย
2591,씨팔뇬,,,ห่าดอ
2592,씨팔뇸,,,ห่าดอก
2593,씹넘,,,ห่าบ้าน
2594,씹녀,,,ห่าป้อ
2595,씹놈,,,ห่าพ่อ
2596,씹뇬,,,ห่าพ่อง
2597,씹뇸,,,ห่าราก
2598,씹때꺄,,,ห่าร่าน
2599,씹때끼,,,ห่าลาก
2600,씹보지년,,,ห่าสรัด
2601,씹새꺄,,,ห่าสัด
2602,씹새끼,,,ห่าสัต
2603,씹새리,,,ห่าสัส
2604,씹새이,,,ห่าสาด
2605,씹새키,,,ห่าหอย
2606,씹색꺄,,,ห่าหี
2607,씹색끼,,,หี
2608,씹색히,,,หีเช้ด
2609,씹선비,,,หีเชร้ด
2610,씹세끼,,,หีเชรี้ย
2611,씹세이,,,หีเชี่ย
2612,씹셍아,,,หีเชี้ย
